onset	duration	nTrial	begSample	endSample	SetSize	ProbeLetter	Match	Correct	ResponseTime	Artifact
0.00025	8	1	1	32000	8	n/a	OUT	1	1.46075	0
8.00025	8	2	32001	64000	6	n/a	IN	0	0.81925	0
16.00025	8	3	64001	96000	4	n/a	IN	1	1.28575	0
24.00025	8	4	96001	128000	8	n/a	OUT	1	1.11625	0
32.00025	8	5	128001	160000	6	n/a	OUT	1	0.8945	0
40.00025	8	6	160001	192000	8	n/a	OUT	1	1.03675	0
48.00025	8	7	192001	224000	4	n/a	OUT	1	1.05175	0
56.00025	8	8	224001	256000	6	n/a	IN	0	1.298	0
64.00025	8	9	256001	288000	4	n/a	OUT	1	1.11625	0
72.00025	8	10	288001	320000	8	n/a	IN	0	1.02875	0
80.00025	8	11	320001	352000	4	n/a	OUT	1	1.093	0
88.00025	8	12	352001	384000	4	n/a	IN	0	1.06225	0
96.00025	8	13	384001	416000	4	n/a	IN	1	1.02375	0
104.00025	8	14	416001	448000	8	n/a	IN	0	1.56125	0
112.00025	8	15	448001	480000	4	n/a	OUT	1	1.32825	0
120.00025	8	16	480001	512000	4	n/a	OUT	1	0.9215	0
128.00025	8	17	512001	544000	4	n/a	OUT	1	1.10575	0
136.00025	8	18	544001	576000	4	n/a	OUT	1	1.1625	0
144.00025	8	19	576001	608000	4	n/a	IN	1	1.10575	0
152.00025	8	20	608001	640000	4	n/a	OUT	0	4.08575	0
160.00025	8	21	640001	672000	4	n/a	OUT	1	1.12025	0
168.00025	8	22	672001	704000	6	n/a	OUT	1	1.67525	0
176.00025	8	23	704001	736000	8	n/a	IN	0	1.29575	0
184.00025	8	24	736001	768000	4	n/a	IN	1	1.111	0
192.00025	8	25	768001	800000	8	n/a	IN	1	1.0005	0
200.00025	8	26	800001	832000	4	n/a	OUT	1	1.0645	0
208.00025	8	27	832001	864000	8	n/a	IN	0	1.12875	0
216.00025	8	28	864001	896000	4	n/a	OUT	1	1.88375	0
224.00025	8	29	896001	928000	6	n/a	OUT	0	1.2275	0
232.00025	8	30	928001	960000	4	n/a	OUT	1	1.29425	0
240.00025	8	31	960001	992000	6	n/a	OUT	1	1.32075	0
248.00025	8	32	992001	1024000	4	n/a	OUT	1	1.28775	0
256.00025	8	33	1024001	1056000	4	n/a	IN	1	1.8035	0
264.00025	8	34	1056001	1088000	4	n/a	OUT	0	2.21775	0
272.00025	8	35	1088001	1120000	4	n/a	IN	0	1.00975	0
280.00025	8	36	1120001	1152000	4	n/a	OUT	1	1.85575	0
288.00025	8	37	1152001	1184000	4	n/a	IN	1	1.31125	0
296.00025	8	38	1184001	1216000	6	n/a	IN	1	1.29025	0
304.00025	8	39	1216001	1248000	8	n/a	IN	1	1.432	0
312.00025	8	40	1248001	1280000	8	n/a	OUT	1	1.245	0
320.00025	8	41	1280001	1312000	4	n/a	OUT	1	1.24775	0
328.00025	8	42	1312001	1344000	8	n/a	OUT	1	0.931	0
336.00025	8	43	1344001	1376000	4	n/a	OUT	1	0.98325	0
344.00025	8	44	1376001	1408000	8	n/a	IN	0	2.68775	0
352.00025	8	45	1408001	1440000	4	n/a	OUT	1	1.21775	0
360.00025	8	46	1440001	1472000	6	n/a	IN	1	0.97925	0
368.00025	8	47	1472001	1504000	8	n/a	IN	0	1.48975	0
376.00025	8	48	1504001	1536000	4	n/a	OUT	1	1.218	0
384.00025	8	49	1536001	1568000	4	n/a	OUT	0	1.524	0
392.00025	8	50	1568001	1600000	4	n/a	OUT	1	1.09525	0
