name	type	units	low_cutoff	high_cutoff	sampling_frequency
mAHL1	SEEG	μV	1000	0.5	2000
mAHL2	SEEG	μV	1000	0.5	2000
mAHL3	SEEG	μV	1000	0.5	2000
mAHL4	SEEG	μV	1000	0.5	2000
mAHL5	SEEG	μV	1000	0.5	2000
mAHL6	SEEG	μV	1000	0.5	2000
mAHL7	SEEG	μV	1000	0.5	2000
mAHL8	SEEG	μV	1000	0.5	2000
mAHR1	SEEG	μV	1000	0.5	2000
mAHR2	SEEG	μV	1000	0.5	2000
mAHR3	SEEG	μV	1000	0.5	2000
mAHR4	SEEG	μV	1000	0.5	2000
mAHR5	SEEG	μV	1000	0.5	2000
mAHR6	SEEG	μV	1000	0.5	2000
mAHR7	SEEG	μV	1000	0.5	2000
mAHR8	SEEG	μV	1000	0.5	2000
mAL1	SEEG	μV	1000	0.5	2000
mAL2	SEEG	μV	1000	0.5	2000
mAL3	SEEG	μV	1000	0.5	2000
mAL4	SEEG	μV	1000	0.5	2000
mAL5	SEEG	μV	1000	0.5	2000
mAL6	SEEG	μV	1000	0.5	2000
mAL7	SEEG	μV	1000	0.5	2000
mAL8	SEEG	μV	1000	0.5	2000
mAR1	SEEG	μV	1000	0.5	2000
mAR2	SEEG	μV	1000	0.5	2000
mAR3	SEEG	μV	1000	0.5	2000
mAR4	SEEG	μV	1000	0.5	2000
mAR5	SEEG	μV	1000	0.5	2000
mAR6	SEEG	μV	1000	0.5	2000
mAR7	SEEG	μV	1000	0.5	2000
mAR8	SEEG	μV	1000	0.5	2000
mECL1	SEEG	μV	1000	0.5	2000
mECL2	SEEG	μV	1000	0.5	2000
mECL3	SEEG	μV	1000	0.5	2000
mECL4	SEEG	μV	1000	0.5	2000
mECL5	SEEG	μV	1000	0.5	2000
mECL6	SEEG	μV	1000	0.5	2000
mECL7	SEEG	μV	1000	0.5	2000
mECL8	SEEG	μV	1000	0.5	2000
mECR1	SEEG	μV	1000	0.5	2000
mECR2	SEEG	μV	1000	0.5	2000
mECR3	SEEG	μV	1000	0.5	2000
mECR4	SEEG	μV	1000	0.5	2000
mECR5	SEEG	μV	1000	0.5	2000
mECR6	SEEG	μV	1000	0.5	2000
mECR7	SEEG	μV	1000	0.5	2000
mECR8	SEEG	μV	1000	0.5	2000
mPHL1	SEEG	μV	1000	0.5	2000
mPHL2	SEEG	μV	1000	0.5	2000
mPHL3	SEEG	μV	1000	0.5	2000
mPHL4	SEEG	μV	1000	0.5	2000
mPHL5	SEEG	μV	1000	0.5	2000
mPHL6	SEEG	μV	1000	0.5	2000
mPHL7	SEEG	μV	1000	0.5	2000
mPHL8	SEEG	μV	1000	0.5	2000
mPHR1	SEEG	μV	1000	0.5	2000
mPHR2	SEEG	μV	1000	0.5	2000
mPHR3	SEEG	μV	1000	0.5	2000
mPHR4	SEEG	μV	1000	0.5	2000
mPHR5	SEEG	μV	1000	0.5	2000
mPHR6	SEEG	μV	1000	0.5	2000
mPHR7	SEEG	μV	1000	0.5	2000
mPHR8	SEEG	μV	1000	0.5	2000
